Fecha,Hidráulica,Turbinación bombeo,Carbón,Ciclo combinado,Eólica,Solar fotovoltaica,Otras renovables,Cogeneración,Residuos no renovables,Residuos renovables,Generación total
01-2013,1218349.348,2363.088,931214.664,153975.855,884077.658,650.302,20560.132,234544.459,13009.1905,13009.1905,3471753.887
02-2013,1284744.619,1257.396,697150.208,47640.007,601970.371,933.268,18135.264,211499.694,15627.6565,15627.6565,2894586.14
03-2013,1435645.009,14162.813,345505.82,19113.783,867226.415,1209.145,15331.901,228198.62,17152.354,17152.354,2960698.214
04-2013,1510286.324,7881.279,291400.717,31714.426,865711.058,1926.748,20897.285,223136.37,15091.0575,15091.0575,2983136.3220000006
05-2013,757447.533,4394.18,702977.24,50162.526,597873.623,2360.181,22214.725,238319.03,17578.111,17578.111,2410905.2600000002
06-2013,459766.927,5270.86,548936.69,44507.956,718684.866,2477.143,20597.088,218216.102,13234.6915,13228.8725,2044921.196
07-2013,368018.981,1623.846,1169660.145,118956.899,488590.202,2722.814,21958.381,224443.895,16700.4385,16700.4385,2429376.04
08-2013,214273.574,5798.8,1109487.866,154452.845,675409.953,2770.278,18594.587,108865.46,16390.765,16390.765,2322434.8929999997
09-2013,256770.439,19889.03,1012210.885,89969.43,588020.739,2062.379,11080.548,176764.632,15607.067,15607.067,2187982.2159999995
10-2013,460377.681,17.829,865289.86,124124.649,993927.642,1405.523,19914.438,185880.574,10873.969,10873.969,2672686.1340000005
11-2013,900497.943,1012.844,699528.516,96599.339,1137320.662,1022.772,17951.885,203649.806,17004.664,17004.664,3091593.094999999
12-2013,776501.53,15624.567,1022241.561,223380.649,1079118.098,935.076,18567.188,191226.503,17335.1295,17335.1295,3362265.431
01-2014,1650844.29,6874.686,607576.243,60962.485,1130295.238,504.864,18628.922,184369.943,9210.147,9210.147,3678476.9649999994
02-2014,1721653.016,12745.285,203147.685,72426.891,1062628.43,825.169,16888.0,148546.056,5670.5315,5670.5315,3250201.595
03-2014,1531775.356,6473.354,300973.845,30967.187,708794.465,1802.058,14715.475,132328.557,17280.631,17280.631,2762391.5590000004
04-2014,1072987.291,5232.542,303519.424,33942.858,667543.604,1833.733,17496.783,110883.935,14463.1935,14463.1935,2242366.557
05-2014,539009.208,672.49,831469.242,24183.82,560553.672,2546.408,19771.103,131593.883,16696.2825,16696.2825,2143192.3910000003
06-2014,404928.724,199.451,1044190.641,-1708.5,577519.324,2451.991,17677.106,164798.752,14660.8475,14659.4775,2239377.814
07-2014,188056.466,18.158,1078872.596,-1625.93,627435.57,2652.064,20028.912,215445.246,17835.726,17835.726,2166554.5339999995
08-2014,260261.144,315.434,1175387.364,-1263.416,533931.259,2371.988,18875.871,215617.982,17442.0525,17442.0525,2240381.7310000006
09-2014,290296.393,2941.127,1141128.805,96097.324,454200.678,1790.238,17987.28,223648.854,16410.5905,16410.5905,2260911.88
10-2014,326923.911,4988.55,887112.565,59676.063,590540.501,1364.539,17784.663,225286.982,14033.5995,14033.5995,2141744.973
11-2014,978281.445,4055.534,925064.781,61602.096,875915.89,648.886,19689.485,198270.562,16228.6905,16228.6905,3095986.0599999996
12-2014,888767.216,2293.452,1064515.951,67773.466,527111.487,710.813,19730.133,201145.415,17774.886,17774.886,2807597.7049999996
01-2015,785057.535,6104.182,1147958.392,61203.646,657535.626,900.399,18303.37,212357.442,13366.0875,13366.0875,2916152.767
02-2015,1242009.086,1940.372,681887.992,46677.617,839282.601,945.126,17143.862,197417.703,15490.8105,15490.8105,3058285.9800000004
03-2015,1053436.27,3767.484,555070.908,16214.718,779845.334,1896.85,11931.569,223398.464,18042.85,18042.85,2681647.2970000007
04-2015,381561.405,2230.522,613490.236,3034.352,553013.227,2015.308,15993.622,220537.703,16133.277,16133.277,1824142.929
05-2015,529316.239,1086.31,578901.351,8343.635,890737.312,2612.017,22030.242,223817.344,15991.401,15991.401,2288827.2520000003
06-2015,323393.546,19.341,1111577.607,18610.255,479444.662,2675.124,21186.94,206036.097,17002.7075,17002.7075,2196948.9869999997
07-2015,226476.115,4.004,1286011.134,102885.301,464601.534,2595.481,21520.029,224068.465,15056.212,15056.212,2358274.4869999993
08-2015,135167.326,143.248,1154818.642,3389.399,508124.61,2115.138,21634.78,213749.436,16069.8005,16069.8005,2071282.18
09-2015,250571.855,3908.226,1042182.752,835.424,556912.184,1957.445,21540.532,224622.027,10831.594,10831.594,2124193.6330000004
10-2015,399503.63,4977.959,1021061.106,-1329.719,858453.619,1297.485,22026.666,231001.667,16897.378,16897.378,2570787.1689999998
11-2015,526231.362,4842.348,849139.079,10711.215,630158.208,1005.383,20851.347,222853.988,17079.6285,17079.6285,2299952.187
12-2015,396716.12,4414.662,998810.748,48705.629,1226645.236,742.428,21774.555,229489.125,16022.279,16022.279,2959343.061
01-2016,1374592.245,2675.981,720440.527,13455.942,1164268.502,520.647,17143.536,228500.496,15270.086,15270.086,3552138.0479999995
02-2016,1577999.924,4618.117,498688.87,1086.339,843928.172,851.554,7394.54,212542.313,13947.5565,13947.5565,3175004.9420000003
03-2016,1490749.001,5456.276,441707.561,7300.975,818248.277,1541.552,13267.241,212193.173,16413.244,16413.244,3023290.5439999998
04-2016,1572155.179,4535.314,180701.7,35265.377,712365.797,1825.009,22518.639,212225.083,8212.89,8212.89,2758017.8780000005
05-2016,1068641.647,4839.548,252876.686,6337.571,450100.642,1980.983,22637.581,228199.039,2946.841,2946.841,2041507.3790000002
06-2016,600096.405,4.48,713018.315,-1340.246,400766.326,2452.121,21956.284,234232.333,14807.3095,14807.3095,2000800.6369999999
07-2016,367702.53,34.209,1161683.816,-1407.21,500448.877,2778.185,21691.344,236419.76,16742.019,16742.019,2322835.5489999996
08-2016,294514.693,8.323,950230.768,-1429.576,511617.264,2626.073,20730.014,235275.689,14831.1275,14831.1275,2043235.503
